,Unnamed: 0,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
126665,,2021/7/13,US,United States of America,AMRO,4000,33518946,36,601980
54125,,2021/7/13,IN,India,SEARO,32906,30907282,2020,410784
16181,,2021/7/13,BR,Brazil,AMRO,20937,19089940,595,533488
98207,,2021/7/13,RU,Russian Federation,EURO,24702,5833175,780,144492
40733,,2021/7/13,FR,France,EURO,1120,5700017,24,110400
122201,,2021/7/13,TR,Turkey,EURO,5404,5486959,49,50278
118295,,2021/7/13,GB,The United Kingdom,EURO,33998,5155247,6,128431
5021,,2021/7/13,AR,Argentina,AMRO,8850,4647948,280,98781
24551,,2021/7/13,CO,Colombia,AMRO,19423,4511960,528,112826
