Country,Value
United States of America,33518946
India,30907282
Brazil,19089940
Russian Federation,5833175
France,5700017
Turkey,5486959
The United Kingdom,5155247
Argentina,4647948
Colombia,4511960
Italy,4272163
Spain,3971124
Germany,3737135
Iran (Islamic Republic of),3394279
Poland,2880959
Indonesia,2615529
Mexico,2590500
Ukraine,2241698
South Africa,2206781
Peru,2080777
Netherlands,1736879
