year,n6,name,n5,n2,n,n3,n4
2020/1/13,BR,Brazil,AMRO,0,0,0,0
2020/1/13,RU,Russian Federation,EURO,0,0,0,0
2020/1/13,FR,France,EURO,0,0,0,0
2020/1/13,TR,Turkey,EURO,0,0,0,0
2020/1/13,GB,The United Kingdom,EURO,0,0,0,0
2020/1/13,AR,Argentina,AMRO,0,0,0,0
2020/1/13,CO,Colombia,AMRO,0,0,0,0
2020/1/13,IT,Italy,EURO,0,0,0,0
2020/1/14,IN,India,SEARO,0,0,0,0
2020/1/14,US,United States of America,AMRO,0,0,0,0
2020/1/14,BR,Brazil,AMRO,0,0,0,0
2020/1/14,RU,Russian Federation,EURO,0,0,0,0
2020/1/14,FR,France,EURO,0,0,0,0
2020/1/14,TR,Turkey,EURO,0,0,0,0
2020/1/14,GB,The United Kingdom,EURO,0,0,0,0
2020/1/14,AR,Argentina,AMRO,0,0,0,0
2020/1/14,CO,Colombia,AMRO,0,0,0,0
2020/1/14,IT,Italy,EURO,0,0,0,0
2020/1/15,IN,India,SEARO,0,0,0,0
2020/1/15,US,United States of America,AMRO,0,0,0,0
2020/1/15,BR,Brazil,AMRO,0,0,0,0
2020/1/15,RU,Russian Federation,EURO,0,0,0,0
2020/1/15,FR,France,EURO,0,0,0,0
2020/1/15,TR,Turkey,EURO,0,0,0,0
2020/1/15,GB,The United Kingdom,EURO,0,0,0,0
2020/1/15,AR,Argentina,AMRO,0,0,0,0
2020/1/15,CO,Colombia,AMRO,0,0,0,0
2020/1/15,IT,Italy,EURO,0,0,0,0
2020/1/16,IN,India,SEARO,0,0,0,0
2020/1/16,US,United States of America,AMRO,0,0,0,0
2020/1/16,BR,Brazil,AMRO,0,0,0,0
2020/1/16,RU,Russian Federation,EURO,0,0,0,0
2020/1/16,FR,France,EURO,0,0,0,0
2020/1/16,TR,Turkey,EURO,0,0,0,0
2020/1/16,GB,The United Kingdom,EURO,0,0,0,0
2020/1/16,AR,Argentina,AMRO,0,0,0,0
2020/1/16,CO,Colombia,AMRO,0,0,0,0
2020/1/16,IT,Italy,EURO,0,0,0,0
2020/1/17,IN,India,SEARO,0,0,0,0
2020/1/17,US,United States of America,AMRO,0,0,0,0
2020/1/17,BR,Brazil,AMRO,0,0,0,0
2020/1/17,RU,Russian Federation,EURO,0,0,0,0
2020/1/17,FR,France,EURO,0,0,0,0
2020/1/17,TR,Turkey,EURO,0,0,0,0
2020/1/17,GB,The United Kingdom,EURO,0,0,0,0
2020/1/17,AR,Argentina,AMRO,0,0,0,0
2020/1/17,CO,Colombia,AMRO,0,0,0,0
2020/1/17,IT,Italy,EURO,0,0,0,0
2020/1/18,IN,India,SEARO,0,0,0,0
2020/1/18,US,United States of America,AMRO,0,0,0,0
2020/1/18,BR,Brazil,AMRO,0,0,0,0
2020/1/18,RU,Russian Federation,EURO,0,0,0,0
2020/1/18,FR,France,EURO,0,0,0,0
2020/1/18,TR,Turkey,EURO,0,0,0,0
2020/1/18,GB,The United Kingdom,EURO,0,0,0,0
2020/1/18,AR,Argentina,AMRO,0,0,0,0
2020/1/18,CO,Colombia,AMRO,0,0,0,0
2020/1/18,IT,Italy,EURO,0,0,0,0
2020/1/19,IN,India,SEARO,0,0,0,0
2020/1/19,US,United States of America,AMRO,0,0,0,0
2020/1/19,BR,Brazil,AMRO,0,0,0,0
2020/1/19,RU,Russian Federation,EURO,0,0,0,0
2020/1/19,FR,France,EURO,0,0,0,0
2020/1/19,TR,Turkey,EURO,0,0,0,0
2020/1/19,GB,The United Kingdom,EURO,0,0,0,0
2020/1/19,AR,Argentina,AMRO,0,0,0,0
2020/1/19,CO,Colombia,AMRO,0,0,0,0
2020/1/19,IT,Italy,EURO,0,0,0,0
2020/1/20,IN,India,SEARO,0,0,0,0
2020/1/20,US,United States of America,AMRO,5,5,0,0
2020/1/20,BR,Brazil,AMRO,0,0,0,0
2020/1/20,RU,Russian Federation,EURO,0,0,0,0
2020/1/20,FR,France,EURO,0,0,0,0
2020/1/20,TR,Turkey,EURO,0,0,0,0
2020/1/20,GB,The United Kingdom,EURO,0,0,0,0
2020/1/20,AR,Argentina,AMRO,0,0,0,0
2020/1/20,CO,Colombia,AMRO,0,0,0,0
2020/1/20,IT,Italy,EURO,0,0,0,0
2020/1/21,IN,India,SEARO,0,0,0,0
2020/1/21,US,United States of America,AMRO,0,5,0,0
2020/1/21,BR,Brazil,AMRO,0,0,0,0
2020/1/21,RU,Russian Federation,EURO,0,0,0,0
2020/1/21,FR,France,EURO,0,0,0,0
2020/1/21,TR,Turkey,EURO,0,0,0,0
2020/1/21,GB,The United Kingdom,EURO,0,0,0,0
2020/1/21,AR,Argentina,AMRO,0,0,0,0
2020/1/21,CO,Colombia,AMRO,0,0,0,0
2020/1/21,IT,Italy,EURO,0,0,0,0
2020/1/22,IN,India,SEARO,0,0,0,0
2020/1/22,US,United States of America,AMRO,0,5,0,0
2020/1/22,BR,Brazil,AMRO,0,0,0,0
2020/1/22,RU,Russian Federation,EURO,0,0,0,0
2020/1/22,FR,France,EURO,0,0,0,0
2020/1/22,TR,Turkey,EURO,0,0,0,0
2020/1/22,GB,The United Kingdom,EURO,0,0,0,0
2020/1/22,AR,Argentina,AMRO,0,0,0,0
2020/1/22,CO,Colombia,AMRO,0,0,0,0
2020/1/22,IT,Italy,EURO,0,0,0,0
2020/1/23,IN,India,SEARO,0,0,0,0
2020/1/23,US,United States of America,AMRO,0,5,0,0
2020/1/23,BR,Brazil,AMRO,0,0,0,0
2020/1/23,RU,Russian Federation,EURO,0,0,0,0
2020/1/23,FR,France,EURO,0,0,0,0
2020/1/23,TR,Turkey,EURO,0,0,0,0
2020/1/23,GB,The United Kingdom,EURO,0,0,0,0
2020/1/23,AR,Argentina,AMRO,0,0,0,0
2020/1/23,CO,Colombia,AMRO,0,0,0,0
2020/1/23,IT,Italy,EURO,0,0,0,0
2020/1/24,IN,India,SEARO,0,0,0,0
2020/1/24,US,United States of America,AMRO,31,36,0,0
2020/1/24,BR,Brazil,AMRO,0,0,0,0
2020/1/24,RU,Russian Federation,EURO,0,0,0,0
2020/1/24,FR,France,EURO,3,3,0,0
2020/1/24,TR,Turkey,EURO,0,0,0,0
2020/1/24,GB,The United Kingdom,EURO,0,0,0,0
2020/1/24,AR,Argentina,AMRO,0,0,0,0
2020/1/24,CO,Colombia,AMRO,0,0,0,0
2020/1/24,IT,Italy,EURO,0,0,0,0
2020/1/25,IN,India,SEARO,0,0,0,0
2020/1/25,US,United States of America,AMRO,1,37,0,0
2020/1/25,BR,Brazil,AMRO,0,0,0,0
2020/1/25,RU,Russian Federation,EURO,0,0,0,0
2020/1/25,FR,France,EURO,0,3,0,0
2020/1/25,TR,Turkey,EURO,0,0,0,0
2020/1/25,GB,The United Kingdom,EURO,0,0,0,0
2020/1/25,AR,Argentina,AMRO,0,0,0,0
2020/1/25,CO,Colombia,AMRO,0,0,0,0
